id,title,poster
tt0099663,A Girl to Kill For (1990),"https://m.media-amazon.com/images/M/MV5BZGU1ZGI0YjAtZmU2ZC00Njk0LTkyNDAtODcyMjljMmI1NDdjXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_QL75_UX190_CR0,15,190,281_.jpg"
tt2326554,A Girl Walks Home Alone at Night (2014),"https://m.media-amazon.com/images/M/MV5BMjMzNjMyMjU2M15BMl5BanBnXkFtZTgwMzA3NjQ0MzE@._V1_QL75_UY281_CR4,0,190,281_.jpg"
tt0109912,A Gnome Named Gnorm (1990),"https://m.media-amazon.com/images/M/MV5BYjI1MmQ1OTUtMGM3ZS00YjYxLWI2YjYtNWQ4Y2JmYzBkYWM1XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt1606378,A Good Day to Die Hard (2013),"https://m.media-amazon.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0401445,A Good Year (2006),"https://m.media-amazon.com/images/M/MV5BYjAzNDkyMGUtZGM4OC00MDU3LWE0M2YtNWM5MmIxYjJlMmJmXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt0113198,A Goofy Movie (1995),"https://m.media-amazon.com/images/M/MV5BZDczYjU4MDMtY2RjMy00Y2UyLWE2MmMtZjliYWUwNzQ3YjExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0473488,A Guide to Recognizing Your Saints (2006),"https://m.media-amazon.com/images/M/MV5BMTU3OTQwNDAwMV5BMl5BanBnXkFtZTcwNjQ3OTYzMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0067168,A Gunfight (1971),"https://m.media-amazon.com/images/M/MV5BOTc1MzE5YjgtMDlmYy00NGNjLWJlMjgtOWY3ZWMyNjM4MWUxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
tt0035959,A Guy Named Joe (1943),"https://m.media-amazon.com/images/M/MV5BMTQ5Njk4MDU5OV5BMl5BanBnXkFtZTgwMDI1NDEzMTE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0295289,A Guy Thing (2003),"https://m.media-amazon.com/images/M/MV5BMTMxOTg3MDczMl5BMl5BanBnXkFtZTcwNzU5MTkzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0058182,A Hard Day's Night (1964),"https://m.media-amazon.com/images/M/MV5BZjQyMGUwNzAtNTc2MC00Y2FjLThlM2ItZGRjNzM0OWVmZGYyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,3,190,281_.jpg"
tt2243537,A Haunted House (2013),"https://m.media-amazon.com/images/M/MV5BMTM1ODgyOTI0NF5BMl5BanBnXkFtZTcwODgyMDY3OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0399146,A History of Violence (2005),"https://m.media-amazon.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt1617620,A Horrible Way to Die (2010),"https://m.media-amazon.com/images/M/MV5BZGE4MGVjMjctZDIxNC00ZDhkLWE0ZWEtMWRjYzhmZTFlNzQxXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0192959,Ai Shang ji (1955),"https://m.media-amazon.com/images/M/MV5BNTAyMDgyMGUtYzFhNS00YTFiLWI2OGItOTVjZmJjYThmY2Y2XkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_QL75_UY281_CR6,0,190,281_.jpg"
tt0212720,A.I. Artificial Intelligence (2001),"https://m.media-amazon.com/images/M/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0113538,A Kid in King Arthur's Court (1995),"https://m.media-amazon.com/images/M/MV5BODc0ZGUyNDYtNTE3MS00YzVhLWFmY2QtZGVlNjFmMjkyNjhlXkEyXkFqcGdeQXVyMjgyOTI1ODY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt6884200,A Kid Like Jake (2018),"https://m.media-amazon.com/images/M/MV5BODllZmMwOGItNGI4Zi00YWEzLWJmMTYtYjgwZGI5ZmY3ODdiXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_QL75_UX190_CR0,0,190,281_.jpg"
